# nucl dec Total(s)  Bp(1+)(s)  Bp(1-)(s)  Bp(0-)(s)  Bp(2-)(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s)
 Hs259 HL+ 7.855389e-01 9.950636e+01 3.740062e+01 3.197783e+02 5.319096e+03 7.107810e+00 9.226509e-01 3.019320e+02 1.971128e+02
 Hs260 HL+ 1.065179e+00 1.604368e+02 7.133704e+01 5.227180e+02 2.416887e+04 9.720868e+00 1.236915e+00 3.415270e+02 4.269565e+02
 Hs261 HL+ 1.112992e+00 7.897391e+01 9.211306e+01 6.347592e+02 2.584568e+04 5.499223e+00 1.456067e+00 3.728657e+02 4.903980e+02
 Hs262 HL+ 1.624692e+00 2.130613e+03 1.777418e+02 8.626546e+02 8.555846e+04 5.282701e+01 1.707341e+00 4.213117e+02 8.160839e+02
 Hs263 HL+ 1.788901e+00 6.057497e+03 2.135158e+02 8.420642e+02 1.083398e+05 8.826687e+01 1.856588e+00 4.967298e+02 1.008162e+03
 Hs264 HL+ 2.369599e+00 2.279915e+04 5.005385e+02 2.453031e+03 3.490347e+05 1.451815e+02 2.435128e+00 7.006863e+02 1.697975e+03
 Hs265 HL+ 2.600576e+00 3.751009e+04 5.696250e+02 1.365816e+03 4.082559e+05 1.701024e+02 2.670965e+00 8.372771e+02 1.839393e+03
 Hs266 HL+ 3.818645e+00 1.115643e+05 1.300681e+03 1.146550e+04 9.918251e+05 2.701531e+02 3.902410e+00 1.322859e+03 3.361016e+03
 Hs267 HL+ 3.833496e+00 3.072185e+05 1.053212e+03 3.916419e+04 8.053386e+05 3.629363e+02 3.901150e+00 2.087141e+03 3.226308e+03
 Hs268 HL+ 7.890090e+00 6.347381e+05 3.498856e+03 1.713659e+05 3.175327e+06 4.890205e+02 8.070512e+00 2.700303e+03 8.023870e+03
 Hs269 HL+ 1.109511e+01 3.344579e+05 3.446606e+03 7.543372e+06 2.361258e+06 4.534349e+02 1.146091e+01 4.011331e+03 7.791538e+03
 Hs270 HL+ 1.069483e+02 1.233993e+11 2.942885e+11 9.843616e+08 2.057190e+11 2.334119e+03 1.146579e+02 5.151449e+03 1.620927e+05
 Hs271 HL+ 1.778803e+02 5.305472e+10 1.000000e+10 1.000000e+10 1.000000e+10 3.891845e+03 1.883857e+02 1.791606e+04 1.355054e+06
 Lr247 HL+ 1.585910e+00 3.622994e+02 6.275991e+01 6.157000e+02 5.197170e+03 2.228702e+01 1.788388e+00 4.640113e+02 2.593893e+02
 Lr248 HL+ 1.816801e+00 6.861315e+02 7.874781e+01 8.215667e+02 6.645725e+03 3.282357e+01 2.002169e+00 5.672778e+02 3.118203e+02
