# nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Hs305 HL- 1.760727e+00 9.891223e+00 5.493317e+00 3.609689e+00 1.286034e+02 
 Hs306 HL- 1.553754e+00 7.718762e+00 4.932238e+00 3.307237e+00 1.119407e+02 
 Hs307 HL- 1.102817e+00 5.548194e+00 3.674197e+00 2.260979e+00 8.281461e+01 
 Hs308 HL- 9.174678e-01 4.077977e+00 2.881498e+00 2.069102e+00 6.947495e+01 
 Hs309 HL- 5.188131e-01 3.001796e+00 1.220025e+00 1.343158e+00 3.314278e+01 
 Hs310 HL- 9.407583e-01 5.868876e+00 1.825926e+00 3.079719e+00 4.948142e+01 
 Hs311 HL- 7.244633e-01 4.861739e+00 1.502764e+00 2.075767e+00 3.642425e+01 
 Hs312 HL- 7.019304e-01 4.605014e+00 1.386620e+00 2.202943e+00 3.089142e+01 
 Hs313 HL- 5.821342e-01 3.956150e+00 1.136037e+00 1.863646e+00 2.074231e+01 
 Hs314 HL- 5.124794e-01 3.626929e+00 1.018616e+00 1.558049e+00 1.921945e+01 
 Hs315 HL- 4.154486e-01 3.030212e+00 8.240253e-01 1.257279e+00 1.468350e+01 
 Hs316 HL- 3.564796e-01 2.784072e+00 7.002651e-01 1.067776e+00 1.227494e+01 
 Hs317 HL- 2.836778e-01 2.436381e+00 5.520310e-01 8.332479e-01 9.702549e+00 
 Hs318 HL- 2.405551e-01 2.050624e+00 4.663089e-01 7.128235e-01 8.195211e+00 
 Hs319 HL- 1.841181e-01 1.777858e+00 3.476545e-01 5.453298e-01 6.303166e+00 
 Hs320 HL- 1.681870e-01 1.383248e+00 3.240837e-01 5.087249e-01 5.830739e+00 
 Hs321 HL- 1.276903e-01 9.719703e-01 2.342926e-01 4.296680e-01 4.829400e+00 
 Hs322 HL- 1.227810e-01 8.643922e-01 2.339198e-01 4.019475e-01 4.447532e+00 
 Hs323 HL- 1.023552e-01 7.011990e-01 1.918801e-01 3.479155e-01 3.877129e+00 
 Hs324 HL- 9.254635e-02 5.918093e-01 1.753190e-01 3.201879e-01 3.464908e+00 
 Hs325 HL- 7.960929e-02 5.081774e-01 1.502872e-01 2.767196e-01 3.068999e+00 
 Hs326 HL- 7.112146e-02 4.336949e-01 1.351500e-01 2.508487e-01 2.709771e+00 
 Hs327 HL- 5.899995e-02 3.698331e-01 1.105165e-01 2.095860e-01 2.350116e+00 
 Hs328 HL- 5.417879e-02 3.295200e-01 1.031909e-01 1.904907e-01 2.073331e+00 
 Hs329 HL- 4.014984e-02 2.959675e-01 7.321881e-02 1.389299e-01 1.487257e+00 
 Hs330 HL- 3.624729e-02 2.535480e-01 6.634951e-02 1.289391e-01 1.224077e+00 
 Hs331 HL- 3.028218e-02 2.158502e-01 5.373892e-02 1.153394e-01 8.998252e-01 
 Hs332 HL- 2.931030e-02 1.893672e-01 5.371088e-02 1.098250e-01 8.981853e-01 
 Hs333 HL- 2.624226e-02 1.693310e-01 4.785641e-02 9.963263e-02 7.885366e-01 
 Hs334 HL- 2.451617e-02 1.447933e-01 4.514036e-02 9.715513e-02 6.958631e-01 
 Hs335 HL- 2.208635e-02 1.303100e-01 4.038732e-02 8.920802e-02 6.124361e-01 
 Hs336 HL- 2.059873e-02 1.136530e-01 3.803835e-02 8.593578e-02 5.488117e-01 
 Hs337 HL- 1.862523e-02 1.032705e-01 3.411808e-02 7.888591e-02 4.948555e-01 
 Hs338 HL- 1.740696e-02 9.083967e-02 3.222905e-02 7.608051e-02 4.409204e-01 
 Hs339 HL- 1.556949e-02 8.436587e-02 2.838288e-02 6.839804e-02 3.964736e-01 
 Hs340 HL- 1.476861e-02 7.536277e-02 2.711336e-02 6.723482e-02 3.722172e-01 
 Hs341 HL- 1.395465e-02 6.520924e-02 2.658946e-02 6.338948e-02 3.400147e-01 
 Hs342 HL- 1.174745e-02 5.275953e-02 2.283794e-02 5.550465e-02 2.289581e-01 
 Hs343 HL- 1.058971e-02 5.074942e-02 2.032307e-02 4.837456e-02 2.062095e-01 
 Hs344 HL- 9.877749e-03 4.179319e-02 1.982506e-02 4.749659e-02 1.719708e-01 
 Hs345 HL- 9.066029e-03 3.934427e-02 1.822129e-02 4.458796e-02 1.319822e-01 
 Rf282 HL- 1.954584e+03 1.333666e+04 3.568927e+03 7.326169e+03 5.014205e+04 
 Rf283 HL- 4.278858e+02 1.113251e+04 5.217276e+02 3.808330e+03 1.471587e+04 
 Rf284 HL- 1.357479e+02 3.030149e+02 3.351136e+02 9.682388e+02 2.017529e+04 
 Rf285 HL- 5.993187e+01 1.706856e+02 1.222688e+02 4.289878e+02 3.153394e+03 
 Rf286 HL- 4.629796e+01 1.232284e+02 1.003603e+02 3.293131e+02 2.068310e+03 
 Rf287 HL- 3.008399e+01 1.552117e+02 4.747609e+01 2.501517e+02 5.758194e+02 
 Rf288 HL- 7.681209e+01 5.641755e+06 9.159720e+01 1.284887e+03 7.558787e+02 
 Rf289 HL- 1.456267e+01 3.183645e+04 1.654699e+01 2.610893e+02 2.286629e+02 
 Rf290 HL- 1.578007e+01 8.519910e+04 2.050246e+01 9.961955e+01 2.199492e+02 
 Rf291 HL- 2.857899e+00 1.373667e+01 6.806192e+00 8.215752e+00 1.181037e+02 
 Rf292 HL- 2.363141e+00 8.925300e+00 6.656794e+00 6.441252e+00 1.769023e+02 
 Rf293 HL- 1.316264e+00 4.958771e+00 3.151686e+00 4.310434e+00 1.139285e+02 
 Rf294 HL- 1.382255e+00 5.629946e+00 3.552209e+00 3.967368e+00 8.154856e+01 
 Rf295 HL- 9.951409e-01 4.183401e+00 2.362899e+00 3.080409e+00 5.555036e+01 
 Rf296 HL- 8.283557e-01 3.518599e+00 1.956926e+00 2.575924e+00 4.203294e+01 
 Rf297 HL- 6.061617e-01 2.795136e+00 1.360562e+00 1.911780e+00 2.950079e+01 
 Rf298 HL- 5.054010e-01 1.709826e+00 1.204715e+00 1.937270e+00 2.104832e+01 
 Rf299 HL- 3.802240e-01 1.387834e+00 8.613752e-01 1.466213e+00 1.503348e+01 
 Rf300 HL- 7.294439e-01 4.943870e+00 1.504161e+00 2.173688e+00 2.284855e+01 
 Rf301 HL- 4.618383e-01 4.095329e+00 8.748540e-01 1.415460e+00 1.397668e+01 
 Rf302 HL- 4.740490e-01 3.189172e+00 9.416014e-01 1.508937e+00 1.404754e+01 
 Rf303 HL- 3.289603e-01 2.161432e+00 6.269258e-01 1.123207e+00 1.088957e+01 
 Rf304 HL- 3.169864e-01 2.103166e+00 6.149162e-01 1.060193e+00 9.109688e+00 
 Rf305 HL- 2.652688e-01 1.745222e+00 5.098305e-01 9.105210e-01 7.296067e+00 
 Rf306 HL- 2.220187e-01 1.445131e+00 4.267532e-01 7.644935e-01 6.218289e+00 
 Rf307 HL- 1.813809e-01 1.222870e+00 3.434137e-01 6.302932e-01 5.075906e+00 
 Rf308 HL- 1.617364e-01 1.037400e+00 3.111597e-01 5.623539e-01 4.406668e+00 
 Rf309 HL- 1.323314e-01 8.858096e-01 2.592572e-01 4.348466e-01 3.689468e+00 
 Rf310 HL- 1.203336e-01 7.725691e-01 2.333121e-01 4.137056e-01 3.199300e+00 
 Rf311 HL- 9.970805e-02 6.726055e-01 1.921505e-01 3.381509e-01 2.624599e+00 
 Rf312 HL- 8.880928e-02 5.902174e-01 1.731900e-01 2.974279e-01 2.327587e+00 
 Rf313 HL- 6.448308e-02 5.372158e-01 1.220600e-01 2.040902e-01 1.805032e+00 
 Rf314 HL- 6.347025e-02 4.497763e-01 1.225444e-01 2.093835e-01 1.678269e+00 
 Rf315 HL- 5.135273e-02 3.974219e-01 9.751025e-02 1.670587e-01 1.397254e+00 
 Rf316 HL- 4.689687e-02 3.323021e-01 8.962221e-02 1.571123e-01 1.263818e+00 
 Rf317 HL- 3.898732e-02 2.780413e-01 7.246086e-02 1.368403e-01 1.058834e+00 
 Rf318 HL- 3.621191e-02 2.416890e-01 6.818862e-02 1.282453e-01 9.853030e-01 
